"gene","module"
"AMICA1","tan"
"BCKDHA","turquoise"
"ATF3","grey"
"LTBP4","yellow"
"AHNAK2","blue"
"MSC","blue"
"TMTC1","salmon"
"DCUN1D2","turquoise"
"RAB33A","grey"
"MTTP","turquoise"
"ADCYAP1R1","black"
"ANKRD36","brown"
"MGAT4C","turquoise"
"PLA2G7","blue"
"STAT3","green"
"ANTXR1","yellow"
"FHL2","turquoise"
"ZNF774","purple"
"DGCR6","turquoise"
"CCDC147","brown"
"GLIPR2","blue"
"APOD","black"
"PTGER2","blue"
"ERV3","yellow"
"REPS2","grey"
"LPCAT3","green"
"C11orf96","lightcyan"
"ADCK3","magenta"
"PGPEP1L","brown"
"AIF1","blue"
"MSL3L2","blue"
"CYSLTR1","yellow"
"IQGAP2","blue"
"RPS6KA5","turquoise"
"EMP3","blue"
"MAFB","blue"
"C10orf62","salmon"
"DHDPSL","salmon"
"TRUB1","brown"
"GCNT2","turquoise"
"CA5B","yellow"
"ITGB8","blue"
"NCRNA00152","red"
"MERTK","salmon"
"HLF","turquoise"
"RAMP1","green"
"SOHLH2","brown"
"OR2A20P","black"
"CPN2","turquoise"
"LGI2","blue"
"RNF144B","salmon"
"PANX1","red"
"RELN","black"
"SLC5A1","magenta"
"DLL1","turquoise"
"SAMD9L","midnightblue"
"RUNX1","blue"
"BTNL9","salmon"
"FAM48B2","grey"
"ATP1B2","yellow"
"UAP1","blue"
"PM20D1","grey"
"CD48","tan"
"SNORA48","pink"
"CYTH4","blue"
"LCP2","blue"
"APLP1","brown"
"TGFBR3","black"
"HOOK1","grey"
"SOCS2","brown"
"DOCK10","tan"
"MLF1","turquoise"
"ZNF814","grey"
"ZNF763","brown"
"LMCD1","red"
"SERPINF1","greenyellow"
"LPPR4","yellow"
"AMY2A","brown"
"S1PR3","green"
"RORC","turquoise"
"RARRES3","blue"
"SLITRK4","yellow"
"THSD7A","greenyellow"
"ETV1","brown"
"C7","black"
"LILRB4","blue"
"PTGS1","blue"
"AGPAT9","brown"
"SNORD13P2","grey"
"STK38L","brown"
"BEST1","blue"
"XRCC4","red"
"SIGLEC9","blue"
"HIST1H4C","grey"
"STAB1","blue"
"ZNF483","brown"
"SNORD116-25","pink"
"COL8A1","greenyellow"
"C13orf30","brown"
"SNORA7B","pink"
"IGSF3","turquoise"
"SERPING1","black"
"CACNA2D3","magenta"
"CLMN","salmon"
"FADS3","red"
"ECRP","green"
"GNB4","grey"
"C11orf80","greenyellow"
"KIAA1107","brown"
"PHYHD1","green"
"NTN1","grey"
"NCF4","blue"
"PDLIM3","grey"
"LOC146336","turquoise"
"C8orf49","turquoise"
"AMY2B","brown"
"HIST1H2AK","brown"
"RPGR","red"
"KIFAP3","brown"
"HTRA1","yellow"
"FGF1","brown"
"SLCO1C1","grey"
"E2F8","red"
"NOV","grey60"
"NTRK3","grey60"
"TAS2R4","grey"
"COX7B","turquoise"
"IGFBP5","yellow"
"LAMA4","yellow"
"GAB3","brown"
"ELOVL6","red"
"FYB","blue"
"EMR2","blue"
"PGA3","green"
"TSPAN5","grey"
"WBSCR17","grey"
"GBP1","midnightblue"
"F8","salmon"
"MRC2","greenyellow"
"FLJ44896","grey"
"CCDC109B","blue"
"IFIT3","midnightblue"
"NCS1","blue"
"SNORD44","red"
"ABCB1","grey"
"CD1C","tan"
"CSPG4P5","grey"
"GJA1","turquoise"
"DGAT2","black"
"ALDH1A2","yellow"
"CLEC4E","blue"
"PHLDB2","brown"
"ABCA6","yellow"
"TEAD4","red"
"UCP2","blue"
"SMYD1","turquoise"
"KCNAB2","grey"
"SLC40A1","yellow"
"BTBD8","brown"
"HSPA4L","brown"
"HCK","blue"
"PLEKHB1","brown"
"SNORD1C","pink"
"SNORD105","pink"
"RDH5","black"
"CDH23","yellow"
"ELOVL2","grey"
"HRASLS5","black"
"SLC36A4","red"
"CLU","yellow"
"ENOX1","grey"
"CDRT1","grey"
"BMP7","magenta"
"LOC100128816","grey"
"PCDHB3","grey"
"MX1","midnightblue"
"LOC100131581","grey"
"ZDHHC11","grey"
"KBTBD8","purple"
"ADAM28","tan"
"ANGPTL7","yellow"
"FAM40B","grey"
"HCLS1","blue"
"DLL4","grey"
"DAB2","blue"
"HIST1H2BF","grey"
"BCL2","grey"
"ATP1B4","brown"
"PCLO","brown"
"TTC18","brown"
"MIR24-1","grey"
"BDH1","turquoise"
"C4orf46","brown"
"SNORD116-26","pink"
"HGF","blue"
"STEAP2","turquoise"
"CRIM1","purple"
"CSRNP1","cyan"
"EMP1","blue"
"CA4","turquoise"
"LYPLAL1","brown"
"P2RY8","grey"
"ZMYND12","brown"
"MYO10","yellow"
"P2RY14","grey"
"RETSAT","black"
"HES1","lightcyan"
"LOC440944","grey"
"HIST1H4K","grey"
"TBX18","black"
"MARCH3","purple"
"DUSP5","lightcyan"
"IGF2","pink"
"SCN3A","grey"
"FAM102B","yellow"
"CDK2AP2","red"
"ALDH1L1","turquoise"
"SMTNL2","magenta"
"MLXIPL","black"
"SNORA64","pink"
"ABCA1","tan"
"LOXL1","greenyellow"
"SELPLG","blue"
"ZNF100","grey"
"CD3E","tan"
"LRP2BP","turquoise"
"TFPI","blue"
"FABP2","grey"
"LILRB3","blue"
"PDE7B","turquoise"
"RANBP17","brown"
"ABCG1","grey"
"GPR183","blue"
"FBXO16","brown"
"PTDSS1","magenta"
"CLGN","turquoise"
"ARSJ","purple"
"FSCN1","greenyellow"
"MGAM","blue"
"PTPN3","turquoise"
"BMP8A","red"
"MLPH","turquoise"
"C1QTNF2","yellow"
"AZIN1","purple"
"MYH10","yellow"
"DDX11L2","grey"
"BOC","yellow"
"CHRM2","turquoise"
"ALPL","green"
"PLLP","salmon"
"MMP15","turquoise"
"DPY19L2P1","turquoise"
"GPRASP2","brown"
"CD180","blue"
"CDA","blue"
"CD84","blue"
"SLC7A5","red"
"MYOCD","brown"
"C2","blue"
"GBP3","midnightblue"
"CHST7","salmon"
"MCTP2","blue"
"VNN1","blue"
"SFRP2","black"
"DOCK11","black"
"ITGA10","blue"
"DRAM1","blue"
"PXDNL","turquoise"
"THNSL1","brown"
"CLEC12A","blue"
"MIR107","turquoise"
"RTN4IP1","turquoise"
"SNORA57","pink"
"KPNA2","red"
"HS3ST3A1","grey"
"ACSS1","turquoise"
"APBB1IP","blue"
"NAMPT","green"
"CXCL9","tan"
"FLRT2","yellow"
"CHN2","grey"
"APLN","grey"
"CD163L1","tan"
"BAMBI","purple"
"PAIP2B","turquoise"
"SMAD9","greenyellow"
"GLIPR1L2","brown"
"NAV1","yellow"
"ABCC8","grey"
"LYAR","grey"
"CHAC1","red"
"CHAC2","green"
"DNAJB5","purple"
"NFKBIA","cyan"
"PLGLB2","grey"
"MPPED2","turquoise"
"LRRC1","brown"
"TMEM38A","magenta"
"MYO1D","greenyellow"
"TAS2R20","brown"
"CCDC68","salmon"
"SNORD109A","turquoise"
"C4orf31","grey"
"SNORD116-11","pink"
"CYP4Z2P","grey"
"NALCN","turquoise"
"MT1P3","cyan"
"ITPKC","cyan"
"DOCK5","green"
"TLR3","midnightblue"
"LOC445341","turquoise"
"DNAJA4","red"
"KCND3","green"
"AP3M2","brown"
"CHST11","blue"
"TIAM2","purple"
"DPY19L2P2","turquoise"
"ZNF578","brown"
"RABGAP1L","turquoise"
"VSNL1","turquoise"
"ZNF300P1","grey"
"DENND3","salmon"
"ACOT7","red"
"TNFSF10","midnightblue"
"FBLN2","yellow"
"MX2","midnightblue"
"KCNAB1","brown"
"MMP9","blue"
"METTL1","red"
"OR4F16","grey"
"SLFN12L","tan"
"ARPC1B","blue"
"PCDHB10","brown"
"RHOD","green"
"KIR3DL1","grey"
"PLA2R1","yellow"
"DNAJC5G","turquoise"
"SPATA20","turquoise"
"ZNF711","brown"
"PHGDH","black"
"SLC9A9","yellow"
"PXDN","blue"
"HOXB3","grey"
"STRADB","magenta"
"BMX","greenyellow"
"FRK","turquoise"
"MT1G","cyan"
"PTGFRN","brown"
"RDH10","cyan"
"CES2","magenta"
"FLJ35776","red"
"KCNJ5","grey"
"MIR223","blue"
"CD300LG","salmon"
"FBLN5","yellow"
"ACADL","black"
"STXBP6","green"
"TST","magenta"
"P2RY2","green"
"APCDD1","black"
"SLCO2B1","blue"
"KLHL7","turquoise"
"TNFAIP8","black"
"ASIP","turquoise"
"ASB11","turquoise"
"CCDC144NL","grey"
"CDNF","turquoise"
"HYDIN","brown"
"ABCB4","turquoise"
"SNORD73A","blue"
"PLXNA2","purple"
"SNORD60","pink"
"ENOSF1","turquoise"
"MFI2","grey"
"LOC732275","grey"
"C9orf95","grey"
"GPT2","black"
"PLSCR4","greenyellow"
"PPP1R1C","turquoise"
"SNORD28","blue"
"PDGFRA","blue"
"CH25H","lightcyan"
"OLFML3","yellow"
"PTPN13","yellow"
"DCLK2","turquoise"
"NFKBIZ","cyan"
"OLFM2","black"
"FLNC","purple"
"GFRA1","black"
"E2F5","green"
"LRRC39","turquoise"
"KIAA1549","salmon"
"PDE4DIP","turquoise"
"TSPAN2","grey"
"DOCK2","blue"
"DLEU2","yellow"
"TMEM88","salmon"
"PRKCD","blue"
"LPCAT4","magenta"
"PER1","salmon"
"MDH1B","brown"
"CMA1","tan"
"SNORA2A","pink"
"PEBP4","magenta"
"SNORD26","blue"
"TIFA","magenta"
"CRY1","red"
"ADAM32","grey"
"P2RY13","tan"
"SNORD116-8","pink"
"AQP7P1","magenta"
"FRMD7","brown"
"C13orf36","magenta"
"NAV3","greenyellow"
"RGS6","turquoise"
"EXTL1","turquoise"
"ST3GAL5","blue"
"CYP39A1","turquoise"
"TKT","blue"
"LOC100127980","turquoise"
"TBX5","turquoise"
"SNORD115-20","brown"
"FAM134B","turquoise"
"RAI14","blue"
"SLC22A5","red"
"CIRBP","brown"
"PLEKHO1","red"
"STBD1","green"
"TBX3","grey"
"GCA","blue"
"OR2A9P","black"
"TET1","yellow"
"FLJ00290","grey"
"NEGR1","black"
"SYT13","magenta"
"DUSP10","grey"
"TMEM63C","magenta"
"C8orf45","turquoise"
"CD200","greenyellow"
"RHOU","black"
"IL18","blue"
"HCG8","brown"
"MGC24103","grey60"
"HAVCR2","blue"
"ERO1L","red"
"CATSPER2P1","brown"
"MICA","grey"
"IRS2","red"
"PLXNC1","tan"
"S100A1","turquoise"
"NFIL3","grey"
"ITGB3","red"
"ZNF844","brown"
"MPZL2","grey"
"STEAP3","green"
"CDH6","yellow"
"psiTPTE22","grey"
"NKG7","tan"
"GLT25D2","yellow"
"LIN9","turquoise"
"ODC1","purple"
"GXYLT2","yellow"
"FGF12","turquoise"
"DISP1","grey"
"COMMD3","turquoise"
"SMC2","turquoise"
"NLGN4Y","grey"
"OPN5","grey"
"RNPC3","brown"
"FKBP10","blue"
"LPAR1","black"
"QSOX1","green"
"NCRNA00268","turquoise"
"DSEL","greenyellow"
"ZNF540","brown"
"TRIM45","turquoise"
"THBS3","yellow"
"ARID5B","yellow"
"EPB41L3","blue"
"PKDCC","blue"
"ZNF682","green"
"PRSS23","blue"
"C20orf166","turquoise"
"TANC2","greenyellow"
"CD86","blue"
"DNALI1","brown"
"SIRPB2","blue"
"RAB8B","blue"
"CLIC2","blue"
"KLRD1","brown"
"RASGRP1","tan"
"CCND1","brown"
"MAOA","salmon"
"CSF1R","tan"
"MPP6","blue"
"ATP6V1G2","brown"
"GPIHBP1","salmon"
"ZFP14","brown"
"SNORD4B","blue"
"DAPK3","purple"
"HIGD1B","turquoise"
"ELOVL7","grey"
"LRRTM4","grey"
"IL10RA","blue"
"FAM102A","yellow"
"RASA4","grey"
"OR4F21","grey"
"TAS2R19","brown"
"PCDHB15","grey"
"CC2D2B","grey"
"STAMBPL1","yellow"
"IRAK3","cyan"
"ST8SIA4","midnightblue"
"GRAP","grey"
"IL15RA","green"
"MTFP1","green"
"PRKCA","brown"
"AKAP12","blue"
"NAV2","purple"
"KIR2DL3","grey"
"S100B","black"
"NR5A2","blue"
"TRIM16L","grey"
"FAM46C","magenta"
"UGDH","blue"
"FAM99A","grey"
"TNFAIP3","tan"
"USP31","green"
"C1RL","blue"
"MPV17L","grey"
"ARHGAP24","brown"
"CISH","grey"
"SNORA5C","pink"
"SLC16A10","grey"
"PRUNE2","grey60"
"ASB5","turquoise"
"SNORD38B","blue"
"H2AFZ","red"
"PTPLAD2","tan"
"MCTP1","blue"
"GIMAP5","grey"
"SLC26A2","red"
"XPR1","purple"
"XPO4","brown"
"TNXA","yellow"
"ACOT11","turquoise"
"P4HA1","grey"
"PFKFB3","black"
"FAM47E","brown"
"SRPX","green"
"PMEPA1","blue"
"CXCL16","blue"
"RHOBTB1","brown"
"PTPRS","black"
"ZNF610","brown"
"LNX1","salmon"
"FGR","blue"
"KBTBD12","turquoise"
"KCNJ8","green"
"ABHD1","turquoise"
"PRTFDC1","yellow"
"FLJ16171","grey"
"EMB","blue"
"TF","black"
"KCNA5","brown"
"C6orf163","brown"
"SNORD30","blue"
"CSPG4","blue"
"ANXA2","blue"
"SNORD114-2","grey"
"SLC47A1","turquoise"
"SYNC","turquoise"
"C10orf116","black"
"C5orf54","brown"
"WISP2","grey"
"MIR32","turquoise"
"GAP43","blue"
"SLC1A3","salmon"
"CETN3","brown"
"MT1JP","cyan"
"ATP1A2","turquoise"
"SH3BGR","purple"
"TM6SF1","blue"
"KGFLP1","grey"
"SPRY4","grey"
"EHHADH","turquoise"
"GPR146","magenta"
"C21orf94","grey"
"HSPA1B","purple"
"FLJ45950","grey"
"NAALADL2","yellow"
"GABRB3","grey"
"NHEDC1","brown"
"JPH1","red"
"FLJ14107","blue"
"ARHGEF26","greenyellow"
"ITGAL","tan"
"CCDC21","turquoise"
"LOC643763","grey"
"EVI2A","blue"
"SNORA23","pink"
"NUDT4","green"
"ENPEP","blue"
"PARVG","blue"
"ROR1","purple"
"SQLE","red"
"PRDM5","brown"
"LRRN4CL","yellow"
"BIRC3","cyan"
"GLTPD1","magenta"
"AASS","green"
"ABCC4","grey"
"SNORA28","pink"
"KLHL3","green"
"FAM70A","yellow"
"C7orf41","brown"
"PLAGL1","yellow"
"XG","yellow"
"PCOLCE","greenyellow"
"PDE10A","purple"
"SLC31A2","salmon"
"LMOD1","grey60"
"HMGCLL1","brown"
"WEE1","purple"
"SGK1","blue"
"ARHGAP1","brown"
"ZNF385D","blue"
"EMILIN2","blue"
"PCDHB18","brown"
"DDT","grey"
"SLC1A2","grey"
"EBF1","black"
"LOC391169","grey"
"C1orf175","turquoise"
"ODZ3","yellow"
"TNFRSF10D","lightcyan"
"DIAPH1","purple"
"SEPP1","yellow"
"ANXA2P2","blue"
"CALCRL","blue"
"B4GALT6","grey"
"ANGPT1","black"
"NMNAT2","yellow"
"XKR4","grey"
"HMOX2","green"
"IMPA2","magenta"
"ATP8A1","brown"
"ZC4H2","grey"
"DAPK1","tan"
"FAM65B","blue"
"XAF1","midnightblue"
"FCN1","tan"
"DCUN1D3","red"
"C1orf88","turquoise"
"PTER","magenta"
"DUSP5P","grey"
"MAP1B","blue"
"SUSD1","blue"
"NCF2","blue"
"SLC16A4","yellow"
"ALDOC","turquoise"
"FAM60A","red"
"KITLG","grey"
"SLC39A8","blue"
"CASP1","midnightblue"
"THSD4","turquoise"
"TAS2R10","grey"
"D4S234E","green"
"HSD17B3","turquoise"
"PDE4D","red"
"SPATA17","turquoise"
"TREM1","blue"
"ZNF434","brown"
"P2RX7","tan"
"PDLIM7","blue"
"ACTN1","blue"
"HERC2P4","salmon"
"RERGL","brown"
"RFTN2","yellow"
"AIF1L","salmon"
"NT5DC3","red"
"SGCG","turquoise"
"PTGS2","lightcyan"
"SNED1","grey60"
"C12orf24","red"
"PITPNM1","green"
"SUSD2","grey60"
"SNORA37","pink"
"NCRNA00174","brown"
"MED12L","brown"
"TPPP3","yellow"
"SPATS2L","grey"
"WASF1","blue"
"TMEM182","turquoise"
"IL4R","blue"
"KCNJ4","turquoise"
"EREG","grey"
"CES4A","grey"
"AURKA","green"
"PCDHB14","turquoise"
"PCDHB13","turquoise"
"ANKMY2","brown"
"MYD88","blue"
"FAM124B","grey"
"ZFHX4","black"
"PRKAR2B","black"
"PPARGC1B","turquoise"
"TUBA4A","purple"
"TSHZ2","yellow"
"C2orf40","yellow"
"DYNLL1","greenyellow"
"SC4MOL","grey"
"NOTCH3","grey"
"CTH","grey"
"C3orf14","greenyellow"
"IL8","lightcyan"
"HLTF","brown"
"SECTM1","blue"
"CORO1A","blue"
"GREB1L","green"
"FLNA","grey60"
"SLC36A1","blue"
"GMFG","blue"
"ZNF404","brown"
"TMEM43","red"
"GNAL","black"
"TPCN1","brown"
"FURIN","green"
"LDLRAD3","blue"
"TMEM143","turquoise"
"TGFBI","blue"
"BARD1","grey"
"NHEDC2","red"
"LGR4","black"
"XIRP2","purple"
"ASPA","yellow"
"HIST1H3I","blue"
"RNU5B-1","pink"
"TMEM119","greenyellow"
"C9orf131","brown"
"HSPA7","blue"
"C5orf4","brown"
"HAND1","magenta"
"LHFPL2","blue"
"TXLNB","turquoise"
"LONRF3","blue"
"SNORD42B","blue"
"PRELID2","grey"
"ADCY5","turquoise"
"PLA2G4C","turquoise"
"APBB3","brown"
"PAWR","grey"
"CACNA2D2","brown"
"IVNS1ABP","brown"
"DDX60","midnightblue"
"SRR","turquoise"
"SNORD61","pink"
"ANO1","yellow"
"COTL1","blue"
"F10","black"
"COL21A1","brown"
"LRP1","black"
"C11orf21","turquoise"
"SEMA5A","brown"
"SLC5A3","grey"
"PPARG","black"
"CYorf15B","grey"
"FITM1","turquoise"
"C17orf60","blue"
"ALAD","magenta"
"FRMD6","yellow"
"CD96","tan"
"STC2","red"
"FLJ36116","grey"
"TAS2R50","brown"
"FAM169A","turquoise"
"GOLGA6A","grey"
"TFEC","blue"
"LITAF","blue"
"ADPRHL1","turquoise"
"FCGBP","green"
"OSBPL3","blue"
"HTRA3","brown"
"GPD1L","turquoise"
"MARCH1","blue"
"VPS8","brown"
"CDC37L1","red"
"KIAA1377","yellow"
"SLC25A20","turquoise"
"ANXA1","blue"
"JAM2","yellow"
"CSF3R","blue"
"LIPA","blue"
"CCL4","tan"
"VNN2","blue"
"DGKD","purple"
"C1orf152","blue"
"LOC283174","turquoise"
"LOC100131541","grey"
"TBXAS1","blue"
"RCN3","blue"
"TDRD1","turquoise"
"DLEU1","green"
"MKNK2","salmon"
"TNIK","brown"
"CCT2","red"
"PGA4","green"
"ATP8B1","brown"
"BCL2L1","green"
"GRIP2","turquoise"
"RFX2","grey"
"HCP5","midnightblue"
"B3GALNT1","turquoise"
"CYP4F12","grey"
"TMEM195","yellow"
"CCDC93","turquoise"
"LIFR","salmon"
"LOXL2","blue"
"EPN3","magenta"
"TLR4","blue"
"ALDH1L2","blue"
"SNORD116-28","turquoise"
"CDC42EP4","green"
"F2RL1","blue"
"NS3BP","grey"
"RGN","turquoise"
"HERC5","midnightblue"
"MEOX1","greenyellow"
"LOC400986","brown"
"ZDHHC15","brown"
"C21orf29","turquoise"
"RAB3A","turquoise"
"DPF3","turquoise"
"CPT1A","grey"
"FAM105A","blue"
"HYAL2","cyan"
"HIST1H4H","turquoise"
"DUSP8","purple"
"ADC","brown"
"FAM107A","green"
"NQO2","grey"
"DPY19L2","turquoise"
"NSDHL","green"
"SLC10A6","grey"
"MYO5C","black"
"TNXB","yellow"
"OSBP2","turquoise"
"GUCY1A3","turquoise"
"SLC10A5","grey"
"CKAP2","grey"
"TMEM37","black"
"C1orf183","green"
"MAP2","purple"
"ANXA3","salmon"
"PLEKHG1","blue"
"SH3RF2","magenta"
"ACACB","magenta"
"ID4","grey60"
"SYN2","salmon"
"CA8","grey"
"PLCD3","magenta"
"PITPNC1","green"
"SNORD4A","blue"
"CC2D2A","yellow"
"CD33","blue"
"LOC100131826","grey60"
"PAPPA","red"
"DAAM2","salmon"
"PTPRD","grey"
"PDGFD","yellow"
"BTN3A3","midnightblue"
"DNAJC12","red"
"SNORD95","pink"
"FGF9","brown"
"CCDC122","brown"
"SULT1C4","brown"
"MIR181B2","purple"
"ZDHHC9","red"
"PTGDR","turquoise"
"SEMA6D","turquoise"
"C6orf145","red"
"CKB","turquoise"
"CADPS2","green"
"HHAT","brown"
"GFRA3","grey"
"C5orf51","purple"
"SLC1A1","salmon"
"UBXN10","turquoise"
"HDAC9","brown"
"WFS1","turquoise"
"RPSAP58","grey"
"LMOD2","turquoise"
"ENO1","blue"
"AMOT","yellow"
"OAS1","midnightblue"
"KIF13A","brown"
"HFM1","brown"
"CRYZ","grey"
"TTYH3","blue"
"COQ5","turquoise"
"SHISA4","magenta"
"AS3MT","turquoise"
"NRP2","greenyellow"
"PPFIA4","grey"
"ID1","grey"
"C8orf37","turquoise"
"HSPH1","purple"
"EGLN3","purple"
"SLC38A2","red"
"PVR","red"
"HRCT1","grey"
"TAPBPL","brown"
"SLC44A3","grey"
"MYH7B","turquoise"
"SERPINH1","blue"
"C7orf68","black"
"SMAD7","grey"
"TFPI2","blue"
"LOC100133299","purple"
"MORN4","brown"
"LTBR","blue"
"TUSC5","black"
"WDR31","turquoise"
"C8orf73","grey"
"HSPB3","turquoise"
"AMD1","green"
"C11orf71","turquoise"
"DEFB109P1B","grey"
"C6orf99","grey"
"C15orf23","red"
"SLC6A16","turquoise"
"CX3CL1","tan"
"OAS3","midnightblue"
"PLAU","blue"
"LBH","grey"
"RAB30","turquoise"
"C9orf150","yellow"
"PDPR","grey"
"SLC16A14","brown"
"KCTD1","black"
"FLJ13197","brown"
"LRRC48","brown"
"SNORA71A","pink"
"PPDPF","brown"
"STARD5","yellow"
"TMSB10","blue"
"SLC16A7","turquoise"
"CD4","blue"
"MXRA8","yellow"
"MBOAT2","grey"
"CADM1","brown"
"TPPP","magenta"
"SNRPA1","grey"
"LOC100132686","grey"
"PREX2","yellow"
"PTPRZ1","grey"
"ENO3","turquoise"
"PDE3B","black"
"APOL4","grey"
"HCN2","turquoise"
"APOL6","black"
"MCF2","brown"
"EIF2AK3","purple"
"PARD6B","green"
"ZNF724P","brown"
"NRIP2","yellow"
"NBLA00301","turquoise"
"LEP","black"
"GRIN2A","grey"
"XRCC6BP1","grey"
"GLRB","brown"
"DUSP19","turquoise"
"GALNTL1","magenta"
"ARL17A","grey"
"SNORA16B","grey"
"CHMP4C","red"
"IL18RAP","blue"
"NBR2","brown"
"FHIT","turquoise"
"C9orf106","brown"
"ARHGDIB","blue"
"YPEL2","brown"
"MLYCD","turquoise"
"CTSO","yellow"
"CYP27A1","yellow"
"ARRB2","blue"
"C9orf93","brown"
"CBLN1","grey"
"LOC100133315","brown"
"CLIC1","blue"
"GNG2","tan"
"SNORD45A","grey"
"DAPK2","turquoise"
"CDR1","turquoise"
"PDE4B","grey"
"HIST1H2BM","blue"
"EGF","turquoise"
"CD28","blue"
"CRIPAK","brown"
"NME1","red"
"PLA1A","grey"
"CD69","tan"
"CES1P1","grey"
"AMY1A","brown"
"TMEM106A","blue"
"LOC147727","turquoise"
"MCAM","blue"
"SIGLEC1","blue"
"USP54","green"
"PLCB4","brown"
"TNFRSF1A","blue"
"SLC1A4","red"
"TUBA8","turquoise"
"MAL","turquoise"
"SLC16A6","blue"
"PCK1","black"
"PARP8","tan"
"PARVB","green"
"TRANK1","yellow"
"OPN3","green"
"SNORD12C","blue"
"ELN","grey60"
"EGFLAM","turquoise"
"SEL1L3","tan"
"STX11","blue"
"MYLK4","turquoise"
"TTLL3","yellow"
"FARP1","purple"
"SLC16A12","grey"
"KLHL31","magenta"
"PDZRN3","turquoise"
"NUDT9P1","grey"
"MYH9","blue"
"IDH1","black"
"NOTCH2","greenyellow"
"ANKRD36B","yellow"
"TRPC4","grey"
"AMACR","turquoise"
"FLJ44124","turquoise"
"SLC30A3","magenta"
"KCNMB1","grey60"
"TXNRD1","red"
"ROMO1","turquoise"
"KAT2A","pink"
"WARS","blue"
"HEY1","brown"
"RGAG1","red"
"KCNJ2","turquoise"
"GPR116","salmon"
"RFESD","grey"
"CMBL","turquoise"
"PCDHB16","grey"
"FBXL2","brown"
"FZD8","blue"
"PLIN3","red"
"NOS3","red"
"ENPP1","black"
"MAP2K3","red"
"SELM","grey60"
"UST","blue"
"SLFN5","yellow"
"ID3","blue"
"EXPH5","magenta"
"ST8SIA6","turquoise"
"ZDHHC14","purple"
"SH3BGRL2","salmon"
"LOC643008","magenta"
"TMCC3","grey"
"SKIL","blue"
"EYS","grey"
"FLJ27243","brown"
"CCDC36","grey"
"ABCA8","brown"
"PTTG2","brown"
"EEF1DP3","purple"
"S100A10","blue"
"LOC100130713","grey"
"AFF3","yellow"
"SNORD116-2","pink"
"B3GALTL","turquoise"
"DNER","green"
"ARHGAP28","yellow"
"ENTPD1","yellow"
"ALDH7A1","turquoise"
"BDH2","brown"
"SLC6A13","turquoise"
"FSIP2","grey"
"SNORD36C","blue"
"ADAM12","blue"
"GDPD3","grey"
"ALDH5A1","turquoise"
"UPB1","turquoise"
"GYG2","black"
"SNORD54","grey"
"TTYH2","magenta"
"SEPT11","greenyellow"
"MIR199A2","greenyellow"
"LYN","blue"
"AQP1","grey"
"RAC2","blue"
"C21orf82","yellow"
"MARCH11","turquoise"
"C11orf65","brown"
"SNORD22","red"
"PEG10","black"
"ZNF441","brown"
"ADHFE1","turquoise"
"AMPH","grey"
"FCER1A","yellow"
"PLSCR1","blue"
"VEGFC","grey"
"LRRC8A","green"
"ARHGDIA","red"
"ANKRD20A2","grey"
"SLC25A15","grey"
"ADRA1A","turquoise"
"PDIA4","red"
"MYOZ1","brown"
"CD52","blue"
"FHL3","red"
"SNORA30","grey"
"MICAL2","grey"
"IL13RA1","blue"
"FSD1L","brown"
"PTPN22","blue"
"GRASP","cyan"
"C10orf78","brown"
"OAS2","midnightblue"
"KLF9","salmon"
"STMN1","brown"
"ITGA3","red"
"RGL3","salmon"
"ACADSB","turquoise"
"C7orf58","brown"
"C2orf63","brown"
"TMEM229A","grey"
"SPON2","blue"
"PRKAB2","turquoise"
"PPIL6","grey"
"TAS2R31","brown"
"RNU12","pink"
"DHRS3","brown"
"LPIN1","green"
"PCSK6","brown"
"LPAR3","magenta"
"PCCB","turquoise"
"C14orf128","turquoise"
"FLVCR2","blue"
"STON1-GTF2A1L","black"
"GPR65","blue"
"CERCAM","greenyellow"
"FST","black"
"DKK2","yellow"
"TES","red"
"C7orf46","grey"
"TLR6","blue"
"BCO2","turquoise"
"WT1-AS","grey"
"TCTEX1D1","grey"
"NHSL1","brown"
"FOLH1","grey"
"TTC39A","turquoise"
"ARMCX4","brown"
"GRK5","grey"
"SNORD57","pink"
"CAMK1D","grey"
"F2RL3","cyan"
"ZNF730","yellow"
"RNASE1","blue"
"LOC100505593","grey"
"DUSP6","blue"
"MYPN","purple"
"CEACAM1","grey"
"S100A4","blue"
"PAQR9","turquoise"
"JUN","grey"
"RPLP2","blue"
"LRRCC1","brown"
"HRH2","red"
"MTSS1","grey"
"ABTB2","purple"
"ZBTB42","green"
"SNORD55","pink"
"PCDH9","purple"
"AMT","turquoise"
"PGA5","green"
"ITGAM","blue"
"ZNF177","brown"
"LDHA","red"
"C21orf119","turquoise"
"RASD2","magenta"
"MTX2","turquoise"
"GPR180","blue"
"ETS2","lightcyan"
"PARP14","midnightblue"
"PXMP2","magenta"
"ADAMTSL4","green"
"TMEM139","magenta"
"ATOH8","salmon"
"ADAM20","brown"
"ATP8B4","blue"
"SLC13A4","grey"
"MMD","black"
"ANP32E","brown"
"ALS2CR8","brown"
"MT1H","cyan"
"GJA4","salmon"
"SNORA70B","grey"
"SEMA5B","brown"
"FAM78A","magenta"
"CABLES1","yellow"
"FAM101B","blue"
"ACSL1","magenta"
"IPP","brown"
"SEMA6B","green"
"EFR3B","brown"
"DKFZP779L1853","turquoise"
"LOC645166","greenyellow"
"DZIP3","brown"
